,Parameter,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15
Coccolithus,coccolithophore,16,11,46,17,12,11,9,0,5,1,5,3,2,7,4
Gephyrocapsa,coccolithophore,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Emeliania,coccolithophore,40,55,255,120,13,23,62,40,45,9,8,2,13,106,410
Helicosphaera,coccolithophore,11,14,4,0,2,3,5,3,2,2,2,1,0,0,4
Rabdosphaera,coccolithophore,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Umbilicoshaera,coccolithophore,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discosphaera,coccolithophore,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1
Reticulofeistra,coccolithophore,0,0,0,7,0,0,0,0,0,0,5,0,1,0,0
Dictyocha,siicoflagellate,12,8,5,3,7,5,11,11,4,11,6,6,8,8,2
Radiolarian_Phaeodoria,radiolarian,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Radiolarian_other,radiolarian,2,2,2,2,1,2,6,6,7,2,7,1,1,6,0
Foraminifera,foraminifera,3,1,2,2,2,3,9,14,5,5,8,2,2,1,7
Dinoflagellate_small,dinoflagellate,79,89,179,97,171,278,376,321,273,501,455,226,351,698,365
Dinoflagellate_medium,dinoflagellate,25,28,69,28,70,73,116,87,54,84,41,80,70,73,42
Dinoflagellate_large,dinoflagellate,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1
Chochlodinium,dinoflagellate,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
dinoflagellate_silica,dinoflagellate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Akashiwo,dinoflagellate,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0
Protoperidinium,dinoflagellate,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dinophysis,dinoflagellate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Protist,Protist,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tintinnid,cilliate,1,3,1,2,5,3,3,2,0,2,2,0,2,4,0
Agglutinated_Tintinnid,cilliate,3,1,2,2,0,5,1,14,10,6,4,3,0,1,2
Cilliate,cilliate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Total_counted,metadata,457,630,954,434,421,502,737,642,543,740,661,405,521,1026,1021
